depth;cap;ice;temp
2;14528685.78;0.693997719;-5.413171981
4;12158468.1;0.513486062;-4.529434326
6;9502701.352;0.446235031;-3.53960604
8;6779644.384;0.445472622;-2.525032174
10;4025136.14;0.397066433;-1.499003981
12;3070995.155;0.378111737;-1.143643414
14;2508544.187;0.384451064;-0.934173408
16;1960853.025;0.381597326;-0.730206295
18;1424869.357;0.37500113;-0.530604394
20;903684.6179;0.368948242;-0.336518099
22;398385.4301;0.338229006;-0.148351239
24;29078.72355;0.200463757;0.034187281
26;0;0;0.113597292
28;0;0;0.197765477
30;0;0;0.281811687
32;0;0;0.35889126
34;0;0;0.428724736
36;0;0;0.497498597
38;0;0;0.565267082
40;0;0;0.632073408
